,ID,Genero,Casado,Age,Graduado,Profesion,Work_Experience,Spending_Score,Family_Size,Categoria_economica
1796,466475,Femenino,Si,33,No,Artista,,Bajo,2.0,B
1798,467448,Femenino,Si,49,No,Ingeniero,0.0,Bajo,1.0,A
1800,462072,Masculino,No,39,Si,Artista,0.0,Bajo,1.0,A
1801,463211,Masculino,Si,68,Si,Abogado,8.0,Bajo,1.0,A
1802,464059,Masculino,Si,57,Si,Artista,1.0,Bajo,1.0,A
1803,463746,Masculino,No,38,Si,Artista,0.0,Bajo,1.0,A
1808,466434,Masculino,Si,53,Si,Artista,0.0,Promedio,4.0,B
1809,467305,Femenino,Si,38,Si,Homemaker,8.0,Promedio,3.0,B
1813,459159,Masculino,Si,80,Si,Abogado,1.0,Bajo,1.0,A
1814,465980,Femenino,No,31,Si,Personal de salud,1.0,Bajo,7.0,A
1815,467713,Femenino,Si,38,No,Ejecutivo,,Promedio,4.0,A
1819,460607,Masculino,Si,36,Si,Artista,9.0,Promedio,4.0,A
1820,462825,Masculino,Si,41,No,Ejecutivo,1.0,Alto,2.0,B
1822,460936,Masculino,Si,70,Si,Ejecutivo,1.0,Alto,5.0,B
1823,458991,Femenino,Si,84,Si,Abogado,3.0,Alto,2.0,A
1825,464281,Femenino,No,39,Si,Artista,0.0,Bajo,1.0,A
1827,460949,Masculino,Si,40,Si,Doctor,1.0,Bajo,5.0,A
1830,460786,Masculino,Si,71,No,Abogado,1.0,Alto,2.0,B
1831,465968,Femenino,No,35,Si,Artista,10.0,Bajo,1.0,A
1834,462652,Masculino,Si,37,No,Artista,,Promedio,3.0,B
1835,465050,Masculino,Si,74,Si,Abogado,1.0,Alto,2.0,B
1838,463649,Masculino,No,22,No,Doctor,0.0,Bajo,4.0,B
1839,466969,Femenino,No,43,Si,Homemaker,9.0,Bajo,1.0,A
1842,464134,Femenino,No,43,Si,Entretenimiento,0.0,Bajo,6.0,A
1844,464089,Femenino,Si,40,Si,Artista,5.0,Alto,5.0,B
1847,460418,Femenino,No,35,Si,Entretenimiento,9.0,Bajo,2.0,A
1849,467049,Masculino,No,50,Si,Artista,1.0,Bajo,1.0,B
1851,466910,Masculino,Si,59,Si,Entretenimiento,9.0,Bajo,1.0,A
1852,466459,Femenino,No,30,Si,Personal de salud,3.0,Bajo,5.0,B
1853,463085,Femenino,No,35,Si,Artista,0.0,Bajo,1.0,A
1861,464539,Masculino,Si,42,No,Ejecutivo,3.0,Alto,3.0,A
1863,464943,Femenino,Si,37,No,Ingeniero,1.0,Promedio,6.0,B
1866,461812,Masculino,Si,30,No,Artista,9.0,Alto,6.0,A
1867,466848,Femenino,Si,65,Si,Artista,1.0,Bajo,2.0,B
1870,462175,Femenino,No,36,Si,Homemaker,9.0,Bajo,1.0,A
1871,465818,Masculino,No,27,No,Entretenimiento,1.0,Bajo,3.0,B
1872,467190,Masculino,Si,36,Si,Ejecutivo,0.0,Bajo,2.0,B
1873,467848,Masculino,No,37,Si,Artista,12.0,Bajo,1.0,B
1877,467309,Femenino,No,35,Si,Ingeniero,2.0,Bajo,1.0,B
1878,467365,Masculino,No,40,Si,Artista,1.0,Bajo,1.0,A
1879,461913,Masculino,No,37,Si,Entretenimiento,6.0,Bajo,4.0,A
1885,463036,Masculino,Si,48,Si,Artista,,Bajo,6.0,B
1886,461079,Femenino,No,26,No,Ingeniero,4.0,Bajo,1.0,A
1889,465367,Masculino,Si,69,No,Ejecutivo,1.0,Alto,3.0,B
1890,467088,Masculino,Si,57,Si,Artista,0.0,Bajo,1.0,A
1894,464713,Femenino,Si,71,Si,Artista,0.0,Alto,4.0,B
1896,467080,Femenino,Si,87,Si,Abogado,1.0,Alto,2.0,A
1897,460683,Masculino,Si,59,No,Entretenimiento,6.0,Promedio,3.0,B
1899,463025,Masculino,Si,40,No,Ejecutivo,7.0,Bajo,4.0,A
1900,459731,Femenino,Si,58,Si,Artista,0.0,Alto,3.0,B
1903,463147,Masculino,No,31,No,Personal de salud,,Bajo,4.0,B
1905,465722,Masculino,Si,47,No,,1.0,Bajo,5.0,A
1908,459146,Masculino,Si,69,Si,Artista,1.0,Bajo,2.0,A
1910,466419,Femenino,Si,45,Si,Entretenimiento,3.0,Promedio,5.0,B
1911,465443,Masculino,Si,38,Si,Artista,0.0,Bajo,4.0,A
1913,459941,Masculino,Si,65,Si,Artista,4.0,Bajo,,B
1915,464737,Femenino,Si,58,No,Ingeniero,0.0,Promedio,6.0,A
1923,461353,Masculino,Si,50,Si,Ejecutivo,0.0,Alto,4.0,A
1927,463637,Femenino,No,30,Si,Personal de salud,,Bajo,5.0,A
1928,466917,Masculino,Si,43,No,Ejecutivo,3.0,Bajo,,B
1934,461536,Femenino,No,39,Si,Doctor,2.0,Bajo,1.0,B
1935,464296,Masculino,No,43,Si,Doctor,1.0,Bajo,4.0,A
1936,463142,Femenino,No,33,Si,Artista,5.0,Bajo,2.0,B
1939,467899,Masculino,Si,66,Si,Artista,1.0,Promedio,2.0,B
1941,461383,Masculino,Si,71,Si,Artista,0.0,Alto,2.0,B
1943,464658,Masculino,Si,33,No,Artista,1.0,Promedio,2.0,B
1944,460699,Masculino,No,28,Si,Artista,9.0,Bajo,1.0,A
1945,460180,Femenino,Si,27,Si,Marketing,11.0,Promedio,2.0,A
1946,462683,Femenino,Si,38,No,Ingeniero,1.0,Bajo,5.0,B
1948,466593,Masculino,Si,70,Si,Abogado,0.0,Alto,3.0,A
1950,465678,Masculino,Si,36,No,Entretenimiento,1.0,Bajo,2.0,A
1952,459394,Masculino,No,28,No,Entretenimiento,9.0,Bajo,2.0,A
1954,461023,Masculino,Si,65,No,Abogado,,Alto,2.0,B
1957,460047,Masculino,No,41,Si,Entretenimiento,8.0,Bajo,2.0,A
1958,460378,Femenino,No,40,Si,Doctor,1.0,Bajo,1.0,A
1959,464758,Femenino,Si,47,No,Ingeniero,1.0,Promedio,4.0,B
1960,460931,Masculino,Si,40,Si,Entretenimiento,2.0,Promedio,5.0,A
1961,463240,Femenino,Si,53,No,Ingeniero,0.0,Promedio,3.0,A
1962,461126,Femenino,No,28,Si,Homemaker,,Bajo,2.0,B
1963,459698,Masculino,Si,60,Si,Artista,1.0,Bajo,2.0,A
1964,461598,Femenino,No,27,Si,Artista,8.0,Bajo,1.0,A
1965,465979,Masculino,Si,43,Si,Artista,2.0,Bajo,2.0,B
1971,467488,Femenino,Si,38,Si,Entretenimiento,,Promedio,2.0,A
1975,467195,Masculino,Si,27,Si,Ejecutivo,,Alto,2.0,A
1976,466310,Femenino,Si,40,Si,Ingeniero,0.0,Promedio,2.0,B
1977,467617,Masculino,Si,82,Si,Abogado,1.0,Bajo,1.0,A
1978,459975,Femenino,No,38,Si,Artista,7.0,Bajo,1.0,B
1979,464386,Masculino,Si,39,Si,Doctor,0.0,Promedio,3.0,B
1981,465859,Masculino,No,47,Si,Artista,0.0,Bajo,1.0,A
1982,464394,Masculino,Si,75,Si,Abogado,0.0,Alto,2.0,A
1984,460964,Masculino,Si,84,No,Abogado,1.0,Alto,2.0,A
1985,461975,Femenino,No,42,Si,Entretenimiento,6.0,Bajo,2.0,A
1987,464563,Masculino,Si,42,Si,Artista,0.0,Promedio,2.0,B
1988,464945,Femenino,Si,40,Si,Artista,1.0,Promedio,2.0,A
1989,463688,Femenino,No,52,Si,Doctor,1.0,Bajo,1.0,B
1990,461750,Masculino,No,52,No,Artista,5.0,Bajo,1.0,B
1993,461372,Masculino,No,27,Si,Artista,3.0,Bajo,1.0,A
1999,460330,Femenino,No,51,Si,Entretenimiento,4.0,Bajo,1.0,A
2001,466789,Femenino,Si,53,Si,Artista,0.0,Promedio,2.0,B
2002,466679,Femenino,No,43,Si,Artista,8.0,Bajo,2.0,B
2003,459362,Masculino,Si,55,No,Ejecutivo,0.0,Bajo,2.0,A
2004,466128,Masculino,No,35,Si,Artista,4.0,Bajo,2.0,A
2005,462474,Femenino,Si,25,No,Ingeniero,1.0,Promedio,2.0,A
2009,462103,Femenino,Si,53,No,Entretenimiento,9.0,Alto,2.0,A
2010,459227,Femenino,Si,31,No,Ingeniero,9.0,Bajo,4.0,A
2011,467761,Masculino,No,39,Si,Artista,1.0,Bajo,2.0,B
2012,459163,Masculino,No,42,Si,Entretenimiento,1.0,Bajo,1.0,A
2014,460178,Masculino,Si,50,Si,Entretenimiento,1.0,Bajo,2.0,A
2015,462803,Masculino,No,26,No,Doctor,0.0,Bajo,6.0,B
2017,466343,Masculino,No,30,Si,Doctor,0.0,Bajo,2.0,A
2021,462740,Masculino,Si,63,Si,Artista,6.0,Bajo,1.0,B
2028,461175,Masculino,Si,57,Si,Personal de salud,1.0,Bajo,3.0,B
2029,464872,Masculino,Si,42,Si,Artista,1.0,Bajo,4.0,B
2030,460830,Masculino,Si,40,No,Entretenimiento,2.0,Promedio,5.0,B
2031,459741,Masculino,Si,66,No,Abogado,0.0,Alto,3.0,B
2032,461154,Masculino,No,21,No,Homemaker,0.0,Bajo,4.0,A
2033,464990,Masculino,Si,73,No,Ejecutivo,1.0,Alto,2.0,B
2038,462380,Femenino,Si,53,No,Artista,1.0,Alto,4.0,A
2041,465336,Femenino,No,41,Si,Doctor,9.0,Bajo,1.0,A
2043,461050,Masculino,Si,47,Si,,1.0,Alto,3.0,B
2044,460485,Femenino,No,18,No,Marketing,9.0,Bajo,5.0,B
2045,467901,Femenino,No,33,Si,Entretenimiento,1.0,Bajo,4.0,B
2049,462285,Masculino,Si,48,Si,Doctor,,Bajo,2.0,A
2050,463044,Masculino,Si,80,Si,Abogado,,Alto,2.0,B
2051,463086,Masculino,No,33,Si,Artista,8.0,Bajo,,A
2053,461419,Masculino,Si,27,No,Entretenimiento,3.0,Promedio,2.0,B
2054,465767,Masculino,No,28,No,Personal de salud,0.0,Bajo,5.0,B
2055,460598,Femenino,Si,35,Si,Doctor,0.0,Promedio,3.0,A
2057,466482,Femenino,Si,39,Si,Homemaker,,Promedio,3.0,A
2058,461584,Femenino,Si,56,Si,Artista,1.0,Alto,4.0,B
2059,462066,Femenino,No,26,Si,Artista,13.0,Bajo,2.0,B
2060,463369,Masculino,Si,31,Si,Entretenimiento,4.0,Bajo,2.0,B
2062,464649,Masculino,Si,39,No,Entretenimiento,1.0,Promedio,4.0,A
2064,466298,Masculino,Si,45,No,Doctor,0.0,Bajo,4.0,A
2067,459238,Femenino,Si,80,Si,Abogado,,Alto,2.0,A
2070,462208,Femenino,Si,33,No,Ingeniero,7.0,Promedio,5.0,B
2071,461755,Masculino,No,29,No,Artista,1.0,Bajo,3.0,A
2073,466872,Masculino,Si,43,Si,Artista,1.0,Bajo,2.0,B
2075,463476,Masculino,Si,53,Si,Artista,3.0,Promedio,3.0,B
2076,463953,Masculino,Si,28,Si,Entretenimiento,3.0,Promedio,3.0,B
2077,462202,Femenino,No,43,Si,Entretenimiento,1.0,Bajo,4.0,A
2080,461770,Masculino,Si,65,Si,Artista,1.0,Bajo,2.0,A
2081,466525,Masculino,Si,33,Si,Artista,0.0,Promedio,2.0,B
2087,460450,Masculino,Si,52,Si,Ejecutivo,1.0,Alto,4.0,B
2088,466520,Masculino,,61,,Ingeniero,2.0,Promedio,2.0,B
2090,460780,Femenino,No,30,Si,Personal de salud,1.0,Bajo,2.0,A
2092,465105,Masculino,Si,69,No,Ejecutivo,9.0,Promedio,2.0,B
2094,462961,Femenino,Si,56,No,Ingeniero,1.0,Promedio,5.0,B
2095,463932,Femenino,Si,72,Si,Artista,1.0,Promedio,3.0,B
2096,459145,Masculino,Si,88,No,Abogado,,Bajo,1.0,A
2098,463721,Femenino,No,31,Si,Personal de salud,1.0,Bajo,4.0,B
2099,467369,Masculino,No,41,Si,Artista,2.0,Bajo,3.0,A
2102,464793,Femenino,Si,26,No,Marketing,7.0,Alto,3.0,A
2106,460204,Masculino,Si,41,Si,Artista,4.0,Bajo,4.0,A
2108,466762,Masculino,Si,63,Si,Homemaker,1.0,Bajo,3.0,B
2110,459634,Femenino,No,39,Si,Ingeniero,,Bajo,3.0,B
2111,465416,Masculino,Si,55,No,Ingeniero,1.0,Alto,4.0,A
2114,460710,Femenino,Si,38,Si,Artista,0.0,Promedio,3.0,A
2115,460098,Femenino,Si,62,Si,Ingeniero,1.0,Bajo,1.0,B
2118,464042,Femenino,Si,42,Si,Artista,9.0,Bajo,2.0,B
2119,467627,Femenino,No,45,Si,Ingeniero,0.0,Bajo,1.0,A
2122,465413,Femenino,Si,41,Si,Ingeniero,0.0,Alto,3.0,A
2123,465126,Femenino,Si,35,No,Ingeniero,7.0,Promedio,4.0,A
2124,465950,Femenino,Si,52,Si,Artista,6.0,Bajo,2.0,A
2125,466734,Femenino,Si,63,Si,Artista,1.0,Promedio,4.0,B
2127,466142,Femenino,Si,29,Si,Entretenimiento,0.0,Promedio,2.0,A
2128,467888,Masculino,No,27,No,Doctor,0.0,Bajo,4.0,B
2129,461992,Femenino,No,37,Si,Doctor,1.0,Bajo,1.0,A
2131,459973,Femenino,No,50,Si,Artista,0.0,Bajo,2.0,A
2132,460695,Masculino,Si,74,Si,Abogado,1.0,Bajo,1.0,A
2134,464140,Femenino,Si,83,Si,Abogado,1.0,Alto,2.0,B
2135,465606,Masculino,Si,37,Si,Ingeniero,1.0,Promedio,3.0,A
2137,462330,Femenino,No,30,No,Artista,1.0,Bajo,1.0,B
2138,459940,Femenino,No,46,Si,Ingeniero,1.0,Bajo,2.0,B
2139,466352,Femenino,Si,65,Si,Doctor,1.0,Bajo,2.0,B
2141,460049,Masculino,Si,43,Si,Entretenimiento,0.0,Promedio,2.0,A
2144,465082,Masculino,Si,67,Si,Abogado,0.0,Bajo,1.0,A
2145,459832,Masculino,Si,66,Si,Ejecutivo,0.0,Bajo,1.0,B
2149,461458,Femenino,No,40,Si,Artista,6.0,Bajo,1.0,B
2152,462033,Masculino,No,32,Si,Entretenimiento,1.0,Bajo,1.0,A
2154,463090,Femenino,Si,55,No,Ingeniero,3.0,Promedio,2.0,B
2156,460148,Femenino,Si,73,No,Ingeniero,1.0,Bajo,,A
2159,464655,Masculino,Si,39,Si,,0.0,Promedio,5.0,A
2160,466088,Femenino,No,31,No,Personal de salud,0.0,Bajo,7.0,B
2164,463410,Masculino,Si,37,No,Doctor,,Promedio,2.0,B
2166,462827,Femenino,No,22,No,Doctor,1.0,Bajo,3.0,A
2167,461500,Femenino,No,26,Si,Doctor,0.0,Bajo,3.0,B
2168,461553,Masculino,No,39,Si,Artista,1.0,Bajo,3.0,A
2169,467912,Masculino,Si,61,Si,Entretenimiento,1.0,Bajo,2.0,A
2174,460335,Femenino,No,63,Si,Doctor,0.0,Bajo,2.0,B
2176,463962,Femenino,,35,Si,Artista,12.0,Bajo,2.0,B
2177,459807,Masculino,Si,81,Si,Abogado,1.0,Bajo,1.0,A
2178,463364,Femenino,Si,71,No,Abogado,1.0,Alto,2.0,B
2180,462686,Masculino,Si,41,Si,Entretenimiento,9.0,Promedio,4.0,A
2181,462949,Masculino,Si,35,No,Homemaker,1.0,Promedio,3.0,B
2182,460275,Femenino,No,52,Si,Artista,6.0,Bajo,1.0,A
2184,460728,Femenino,,39,Si,Artista,0.0,Bajo,1.0,B
2185,462416,Masculino,Si,45,No,Artista,0.0,Bajo,2.0,B
2189,463106,Femenino,Si,84,Si,Abogado,0.0,Bajo,1.0,B
2191,466474,Masculino,No,29,Si,Entretenimiento,6.0,Bajo,3.0,A
2192,461711,Femenino,No,35,Si,Artista,8.0,Bajo,3.0,A
2196,466344,Masculino,No,43,Si,Entretenimiento,0.0,Bajo,2.0,A
2198,460423,Femenino,Si,53,Si,Artista,3.0,Bajo,1.0,A
2201,463049,Masculino,Si,51,No,Ejecutivo,2.0,Alto,5.0,A
2203,462407,Masculino,Si,37,No,Doctor,2.0,Promedio,4.0,A
2204,459450,Masculino,Si,55,Si,Artista,4.0,Promedio,4.0,A
2205,463255,Masculino,No,42,Si,Entretenimiento,3.0,Bajo,2.0,A
2207,465761,Femenino,No,42,Si,Artista,12.0,Bajo,2.0,A
2208,467728,Femenino,Si,38,No,Ingeniero,1.0,Alto,5.0,B
2209,465841,Femenino,No,52,Si,Ingeniero,3.0,Bajo,1.0,A
2212,461722,Masculino,No,27,No,Doctor,1.0,Bajo,3.0,B
2213,460898,Masculino,Si,48,No,Artista,3.0,Promedio,4.0,B
2215,460403,Femenino,No,56,Si,Doctor,3.0,Bajo,1.0,A
2219,467112,Masculino,No,43,Si,Artista,1.0,Bajo,2.0,B
2221,463233,Masculino,Si,50,No,Ejecutivo,0.0,Promedio,5.0,B
2223,465915,Masculino,Si,40,Si,Entretenimiento,8.0,Promedio,2.0,B
2225,460624,Masculino,Si,57,Si,Homemaker,5.0,Alto,2.0,A
2227,464320,Masculino,Si,74,No,Abogado,0.0,Alto,2.0,A
2231,463309,Masculino,Si,50,Si,Artista,0.0,Promedio,2.0,B
2233,464195,Masculino,No,29,Si,Artista,0.0,Bajo,1.0,A
2234,467696,Masculino,Si,84,Si,Abogado,,Alto,3.0,B
2236,466504,Masculino,Si,38,No,Ejecutivo,9.0,Alto,5.0,B
2237,466792,Femenino,Si,82,No,Abogado,0.0,Bajo,1.0,A
2238,459875,Masculino,Si,71,No,Abogado,0.0,Alto,,A
2239,463837,Femenino,Si,50,No,Ingeniero,0.0,Bajo,3.0,B
2240,465384,Masculino,Si,56,Si,Artista,0.0,Alto,2.0,B
2242,465268,Masculino,Si,29,No,Ejecutivo,12.0,Bajo,3.0,B
2245,466665,Masculino,Si,42,Si,Artista,0.0,Promedio,2.0,A
2246,462290,Femenino,No,33,Si,Doctor,1.0,Bajo,1.0,B
2248,464926,Femenino,Si,46,No,Ingeniero,0.0,Alto,3.0,A
2249,460343,Femenino,No,67,Si,Artista,0.0,Bajo,2.0,B
2251,464266,Masculino,No,28,No,Doctor,8.0,Bajo,3.0,A
2253,467698,Femenino,Si,40,No,Artista,3.0,Promedio,,A
2258,460313,Masculino,No,32,Si,Artista,13.0,Bajo,3.0,A
2259,465497,Masculino,No,25,No,Homemaker,14.0,Bajo,3.0,A
2260,465846,Femenino,No,40,Si,Artista,5.0,Bajo,1.0,A
2262,462704,Masculino,Si,48,Si,Ejecutivo,5.0,Alto,5.0,B
2265,464205,Femenino,Si,82,No,Entretenimiento,0.0,Alto,2.0,B
2268,467967,Masculino,No,30,Si,Entretenimiento,8.0,Bajo,4.0,A
2271,462361,Masculino,Si,60,Si,Artista,0.0,Bajo,2.0,A
2277,461051,Femenino,Si,71,Si,Entretenimiento,1.0,Promedio,2.0,B
2278,461142,Femenino,No,40,Si,Ingeniero,1.0,Bajo,3.0,B
2279,461521,Masculino,Si,68,Si,Artista,0.0,Alto,2.0,B
2280,459422,Masculino,Si,50,Si,Entretenimiento,,Bajo,4.0,A
2282,467432,Masculino,No,29,Si,Personal de salud,,Bajo,3.0,B
2283,464016,Femenino,,29,Si,Entretenimiento,0.0,Alto,1.0,A
2284,464654,Femenino,Si,39,No,Ingeniero,1.0,Promedio,4.0,B
2285,459111,Masculino,Si,41,Si,Ejecutivo,0.0,Bajo,4.0,B
2288,464365,Masculino,No,35,Si,Artista,,Bajo,1.0,A
2289,460046,Femenino,Si,49,Si,Artista,3.0,Bajo,2.0,B
2293,467057,Femenino,No,50,No,Entretenimiento,8.0,Bajo,2.0,A
2295,464210,Masculino,No,43,Si,Marketing,0.0,Bajo,2.0,A
2298,464817,Masculino,No,31,Si,Artista,7.0,Bajo,1.0,A
2302,465694,Masculino,Si,37,Si,Personal de salud,1.0,Promedio,2.0,A
2307,466456,Femenino,Si,43,No,Doctor,9.0,Bajo,1.0,A
2310,462785,Femenino,Si,40,Si,Ingeniero,,Promedio,5.0,B
2311,466906,Masculino,No,59,Si,Artista,1.0,Bajo,2.0,B
2314,462372,Femenino,Si,65,No,Abogado,,Alto,2.0,A
2315,462400,Masculino,No,47,Si,Artista,0.0,Bajo,1.0,B
2318,461754,Masculino,Si,65,No,Entretenimiento,1.0,Alto,2.0,B
2319,461376,Femenino,No,38,Si,Personal de salud,0.0,Bajo,2.0,B
2324,463857,Masculino,Si,56,No,Personal de salud,0.0,Alto,4.0,B
2325,465849,Femenino,No,32,Si,Doctor,5.0,Bajo,3.0,A
2329,464711,Femenino,Si,38,Si,Artista,7.0,Promedio,3.0,B
2332,459449,Masculino,Si,43,Si,Artista,,Bajo,2.0,B
2336,460290,Femenino,,50,Si,Artista,,Alto,1.0,B
2338,464754,Femenino,Si,43,No,Ingeniero,4.0,Promedio,7.0,A
2340,461987,Femenino,Si,43,No,Ingeniero,1.0,Promedio,2.0,B
2341,463259,Masculino,Si,75,Si,Abogado,0.0,Bajo,1.0,A
2343,461628,Masculino,Si,39,Si,Personal de salud,11.0,Promedio,2.0,B
2344,459126,Masculino,Si,61,Si,Artista,2.0,Bajo,2.0,B
2347,460860,Masculino,Si,52,Si,Artista,7.0,Promedio,4.0,B
2348,467629,Masculino,Si,50,Si,Artista,1.0,Bajo,1.0,B
2349,461720,Femenino,No,51,Si,Artista,1.0,Bajo,1.0,B
2351,465832,Masculino,Si,53,Si,Ejecutivo,9.0,Alto,5.0,B
2354,463541,Femenino,No,26,No,Personal de salud,0.0,Bajo,3.0,B
2355,462431,Masculino,No,32,No,Entretenimiento,9.0,Bajo,4.0,A
2357,461693,Femenino,Si,36,Si,Artista,1.0,Promedio,4.0,B
2358,466793,Femenino,,62,Si,Artista,4.0,Promedio,3.0,B
2359,466010,Femenino,Si,69,No,Doctor,0.0,Bajo,1.0,A
2360,465674,Femenino,No,39,Si,Entretenimiento,1.0,Bajo,2.0,A
2361,459405,Femenino,Si,81,No,Doctor,0.0,Alto,2.0,A
2364,466093,Masculino,No,52,Si,Entretenimiento,1.0,Bajo,5.0,B
2365,462773,Femenino,Si,40,Si,Artista,4.0,Promedio,5.0,B
2366,467087,Masculino,No,68,Si,Abogado,0.0,Bajo,,B
2369,467056,Femenino,No,31,No,Homemaker,8.0,Bajo,1.0,A
2373,467398,Masculino,Si,37,No,Entretenimiento,1.0,Bajo,2.0,A
2375,465427,Masculino,No,33,Si,Artista,7.0,Bajo,1.0,A
2377,463642,Femenino,No,27,Si,Personal de salud,0.0,Bajo,3.0,B
2379,466112,Masculino,Si,51,Si,Entretenimiento,1.0,Promedio,2.0,B
2381,463027,Masculino,Si,69,Si,Ejecutivo,1.0,Promedio,4.0,B
2382,462467,Femenino,Si,45,No,Doctor,1.0,Bajo,1.0,A
2399,463173,Masculino,No,47,Si,Artista,0.0,Bajo,1.0,B
2402,463063,Femenino,No,25,No,Marketing,,Bajo,7.0,B
2405,463175,Femenino,,40,No,Ingeniero,1.0,Bajo,4.0,A
2407,466075,Femenino,Si,50,Si,Ingeniero,1.0,Promedio,4.0,B
2409,460783,Masculino,Si,82,Si,Abogado,0.0,Bajo,1.0,B
2410,465962,Masculino,Si,33,Si,Personal de salud,0.0,Bajo,2.0,A
2413,461502,Femenino,No,37,Si,Artista,9.0,Bajo,1.0,B
2414,463280,Masculino,Si,37,Si,Artista,6.0,Promedio,2.0,A
2417,459345,Femenino,Si,39,Si,Artista,3.0,Bajo,1.0,B
2419,467097,Masculino,Si,55,Si,Artista,2.0,Bajo,1.0,B
2423,463415,Femenino,No,28,Si,Personal de salud,,Bajo,5.0,B
2424,459587,Femenino,No,32,Si,Artista,7.0,Bajo,3.0,A
2426,465426,Masculino,No,30,No,Personal de salud,0.0,Bajo,4.0,B
2427,461452,Femenino,No,31,Si,Doctor,0.0,Bajo,4.0,A
2428,460797,Masculino,Si,47,Si,Artista,4.0,Bajo,1.0,A
2430,462168,Masculino,Si,37,Si,Ejecutivo,1.0,Alto,3.0,B
2434,459726,Masculino,Si,79,No,Abogado,0.0,Alto,2.0,B
2438,463488,Femenino,No,29,No,Ingeniero,9.0,Bajo,4.0,A
2439,465872,Femenino,No,33,Si,Ingeniero,10.0,Bajo,1.0,A
2444,466953,Masculino,Si,42,Si,Artista,2.0,Promedio,2.0,B
2445,459086,Femenino,No,28,No,Personal de salud,1.0,Bajo,2.0,B
2446,464915,Masculino,Si,41,Si,Ejecutivo,,Alto,4.0,B
2448,464272,Masculino,No,30,Si,Artista,9.0,Bajo,2.0,A
2452,459089,Masculino,No,19,No,Artista,9.0,Bajo,7.0,B
2453,462365,Masculino,Si,75,Si,Abogado,0.0,Alto,2.0,B
2454,459628,Femenino,Si,51,Si,Ingeniero,0.0,Bajo,1.0,A
2455,467332,Femenino,Si,70,Si,Homemaker,3.0,Bajo,2.0,B
2456,460443,Femenino,No,38,Si,Doctor,0.0,Bajo,1.0,A
2458,466228,Masculino,Si,80,No,Abogado,0.0,Bajo,1.0,B
2467,465970,Femenino,Si,38,No,Artista,1.0,Bajo,1.0,B
2468,460094,Femenino,No,39,Si,Artista,0.0,Bajo,1.0,A
2469,467428,Femenino,Si,46,Si,Entretenimiento,2.0,Promedio,2.0,B
2471,467516,Femenino,Si,31,No,Artista,0.0,Alto,3.0,A
2473,462389,Femenino,Si,58,No,Ingeniero,1.0,Bajo,1.0,B
2474,461556,Femenino,Si,49,Si,Ingeniero,1.0,Promedio,2.0,A
2477,460660,Masculino,No,41,,Entretenimiento,6.0,Bajo,1.0,A
2478,466787,Femenino,Si,33,Si,Doctor,0.0,Bajo,2.0,A
2479,467256,Masculino,No,33,No,Personal de salud,0.0,Bajo,4.0,B
2481,466742,Masculino,Si,45,No,Doctor,8.0,Bajo,2.0,A
2482,466017,Femenino,Si,45,Si,Homemaker,1.0,Bajo,1.0,B
2485,465930,Femenino,No,36,Si,Artista,9.0,Bajo,2.0,A
2488,466725,Femenino,Si,89,No,Abogado,0.0,Alto,2.0,A
2494,463218,Masculino,Si,42,No,Entretenimiento,9.0,Promedio,3.0,A
2496,459983,Femenino,Si,50,Si,Artista,2.0,Bajo,1.0,B
2497,465845,Femenino,Si,40,Si,Entretenimiento,,Bajo,2.0,B
2500,461509,Masculino,Si,40,Si,Artista,1.0,Promedio,3.0,B
2501,460542,Femenino,Si,81,No,Abogado,1.0,Bajo,,B
2502,461148,Masculino,,37,Si,Artista,1.0,Promedio,3.0,A
2503,464064,Femenino,Si,39,No,Doctor,0.0,Bajo,2.0,B
2505,459303,Masculino,Si,55,Si,Artista,0.0,Bajo,1.0,B
2506,462568,Masculino,Si,51,Si,Doctor,,Bajo,3.0,A
2507,462635,Masculino,Si,42,No,Ingeniero,5.0,Promedio,4.0,A
2510,467605,Femenino,Si,40,Si,Ingeniero,1.0,Promedio,7.0,A
2513,466155,Masculino,Si,40,Si,Entretenimiento,1.0,Promedio,2.0,A
2514,467176,Masculino,No,27,No,Personal de salud,1.0,Bajo,3.0,A
2515,459400,Femenino,Si,84,No,Abogado,0.0,Alto,2.0,B
2518,466454,Masculino,No,33,Si,Entretenimiento,1.0,Bajo,1.0,A
2521,465463,Femenino,No,28,No,Doctor,,Bajo,5.0,A
2522,464501,Femenino,No,25,No,Personal de salud,1.0,Bajo,3.0,A
2523,460659,Femenino,Si,47,Si,Marketing,,Promedio,3.0,A
2527,462475,Masculino,Si,35,Si,Artista,0.0,Promedio,2.0,B
2528,465770,Masculino,No,52,Si,Artista,1.0,Bajo,1.0,B
2529,466823,Masculino,Si,40,Si,Artista,1.0,Bajo,2.0,B
2531,467083,Femenino,Si,88,Si,Abogado,1.0,Alto,2.0,A
2532,467675,Femenino,No,39,No,,,Bajo,1.0,A
2535,466503,Masculino,Si,45,Si,Artista,7.0,Promedio,5.0,B
2536,461847,Masculino,Si,41,No,Entretenimiento,0.0,Bajo,4.0,A
2538,459982,Masculino,No,39,Si,Entretenimiento,9.0,Bajo,2.0,A
2539,463316,Femenino,Si,89,No,Abogado,0.0,Alto,2.0,A
2540,466758,Masculino,Si,45,Si,Doctor,0.0,Bajo,1.0,A
2542,461344,Masculino,Si,43,No,Personal de salud,6.0,Alto,2.0,B
